# key	english
UI/Blueprint	Blueprint
UI/Food2	Cookbook 2
UI/Food3	Cookbook 3
UI/FoodFarm	Farm Cookbook
UI/AnimalFarmDLC	Animal Farm
UI/controlEsc	Menu
UI/controlTab	Blueprints
UI/controlCtrl	Fast forward
UI/controlQ	Change weapon
UI/controlWSAD	Move camera
UI/controlT	Time control
UI/controlB	Bunker construction
UI/controlU	Gear / Journal
UI/controlI	Inventory
UI/controlSpace	Center the camera / Drive around obstacles
UI/controlSpacePort	Center the camera
UI/controlLMB	Move / Quick action
UI/controlRMB	Interact
UI/controlKeyboardLayout	Keyboard layout
UI/controlQuickGrab	Quick grab
UI/controlGrid	Alternate item placement grid
UI/controlBoost	Drive Boost
UI/contextEAT	EAT
UI/contextSLEEP	SLEEP
UI/contextCRAFT	CRAFT
UI/contextTRADE	Trade
UI/contextRECEIVE	RECEIVE
UI/contextRECHARGE	RECHARGE
UI/contextWATER	WATER
UI/contextPLANT	PLANT
UI/contextHARVEST	HARVEST
UI/contextREAD	READ
UI/contextTURNON	TURN ON
UI/contextNAP	NAP
UI/contextCOOK	COOK
UI/contextEQUIP	EQUIP
UI/contextTALK	TALK
UI/contextCOLLECT	COLLECT
UI/contextCHANGECOLOR	CHANGE COLOR
UI/contextUSE	USE
UI/contextREPAIR	Repair
UI/contextMINE	MINE
UI/contextQUICK_PLANT	QUICK PLANT
UI/contextQUICK_SET	QUICK SET
UI/contextLAUNCH_ROCKET	LAUNCH THE ROCKET
UI/contextOPEN	OPEN
UI/contextINSPECT	INSPECT
UI/contextGRAB	GRAB
UI/contextBUILD	BUILD
UI/contextHIDE	HIDE
UI/contextPOWERON	POWER ON
UI/contextPOWEROFF	POWER OFF
UI/contextDESTROY	DESTROY
UI/contextCHOP	CHOP
UI/contextCANCEL	CANCEL
UI/contextDOWN	Down 
UI/contextUP	Up 
UI/contextGETBACK	Get back 
UI/contextMELT	Melt
UI/contextDRY	Dry
UI/contextGIVE	Give
UI/contextLEVEL	LEVEL
UI/contextAsk	Ask
UI/contextFort	Fort Observer
UI/contextCustomize	Customize
UI/attributeStamina	Stamina
UI/attributeHealth	Health
UI/attributePrep	Preparedness
UI/Resume	Resume
UI/Back	<back
UI/BackPort	back
UI/Apply	Apply
UI/habitat	habitat
UI/planBunker	Build the bunker
UI/planFood	Establish a food source
UI/planMakeAPlan	Make a plan
UI/planRocket1	Ultimate Rocket Plan Phase 1
UI/planRocket2	Ultimate Rocket Plan Phase 2
UI/planRocket3	Ultimate Rocket Plan Phase 3
UI/planRocket4	Ultimate Rocket Plan Phase 4
UI/actionPlan	Plan
UI/rocketProlog	More of the rocket\nin the full version
UI/railWayProlog	You need the full version \nof the game to repair that
UI/demoEnd1	Thank you for playing the demo!
UI/demoEnd2	   If you want to try to survive in the bunker and live the Prepper's story we encourage you to visit Mr. Prepper's full game Steam Page: 
UI/demoEnd3	Mr. Prepper steam page
UI/demoEnd4	   Add it to your Wishlist and Subscribe to be up to date!\n   We hope you enjoyed this small part of our game!\n
UI/demoEnd5	Kind regards,\nRejected Games
UI/demoEnd6	   P.S. although this is the end of demo, and the rest of the content is only available in the full version, you can continue playing if you wish ;D
UI/demoEnd7	Exit Game
UI/demoEnd8	Continue playing
UI/myCash	My cash
UI/trust	trust
UI/lowPrep	Your preparedness is low
UI/SeedsOnly	Seeds only
UI/BaitsOnly	Baits only
UI/Prepper	Set up
UI/FoodOnly	Food only
UI/WaterOnly	Water only
UI/Upgrade	Upgrade
UI/ChooseSlot	Choose a slot
UI/UI	UI
UI/Suspiciousness	Suspiciousness
UI/Skills	Skills
UI/warning	Warning!!!
UI/deleteSave	Are you sure you want to pernamently <color=red>delete</color> this save file?
UI/sleepWarning	You should go to sleep
UI/GoToSleepClock	Time to sleep! You will collapse soon.
UI/unlocked	unlocked
UI/pillar	Ropeway pillar
UI/Trash	Trash
UI/changeWeaponTip	Press [Q] to change weapon/tool
UI/changeWeaponTipPort	Press <sprite index=Button30_UIAtlas> to change weapon/tool
UI/grabTip	[Alt] + LMB to quick grab
UI/grabTipPort	Hold <sprite index=Button26_UIAtlas> and press <sprite index=Button0_UIAtlas> to quick grab
UI/fastForwardTip	Hold [Left Ctrl] to fast forward
UI/prologueEnd1	This storyline is to be continued in the full version!
UI/prologueEnd2	If you want to try to survive in the bunker and live the Prepper's story, we encourage you to visit Mr. Prepper's full game Steam Page: 
UI/prologueEnd3	Mr. Prepper Steam page
UI/prologueEnd4	   Add it to your Wishlist and Subscribe to be up to date!\n   We hope you enjoyed this part of our game!\n
UI/prologueEnd5	Kind regards,\nRejected Games
UI/prologueEnd6	   P.S. Although this is the end of Prologue's story it's not the end of the content you can discover. Feel free to continue! :)
UI/prologueEnd7	Exit Game
UI/prologueEnd8	Continue playing
UI/gearTip1	To equip a baseball bat, open your gear
UI/gearTip2	Double click a baseball bat to equip it
UI/gearTip2Port	Double press <sprite index=Button0_UIAtlas> on a baseball bat to equip it
UI/gearTip3	Press Q to toggle your weapon
UI/gearTip3Port	Press <sprite index=Button30_UIAtlas> to toggle your weapon
UI/skip	Skip
UI/prologueFarmingInfo1	In Prologue, ways of upgrading your farm are limited,
UI/prologueFarmingInfo2	which makes survival very challenging in the long run.
UI/prologueFarmingInfo3	In the full version, you will gain access to better, more efficient plants,
UI/prologueFarmingInfo4	more tools to make your plants grow faster,
UI/prologueFarmingInfo5	and more ways of obtaining water and electricity.
UI/arrested	Arrested
UI/escape	Escape
UI/drive	Drive
UI/driveForward	Drive Forward
UI/backToJoe	Back to Joe
UI/toggleFortObserver	Fort Observer
UI/toggleScavenge	Scavenge
UI/driveTooltipBeta	You can't go further in beta
UI/inFullVersion	(In full version)
UI/driveToFort	Drive to the fort
UI/driveForwardTooltip	
UI/backToJoeTooltip	Back to the junkyard
UI/driveToFortTootlip	
UI/driveForwardDesc	Take a risk
UI/driveToFortDesc	
UI/tooLittleFuel	Not enough fuel
UI/PutOnBackPack	Put on a backpack to unlock
UI/tutTipDisassemble1	Mr. Prepper can learn new recipes by disassembling items.
UI/tutTipDisassemble2	If you disassemble something from your house,
UI/tutTipDisassemble3	you will always be able to reconstruct it.
UI/tipAdventuringGear1	With the backpack equipped, you can now use quick access slots.
UI/tipAdventuringGear2	You can equip food, combat gear and other consumables here.
UI/tipAdventuringGear3	You can use them any time with keyboard keys 1–4.
UI/tipAdventuringGear3Port	You can use them any time by hold <sprite index=Button2_UIAtlas> and press <sprite index=Button36_UIAtlas>
UI/youSureExit	Are you sure you want to exit? Your progress is being saved only when you sleep or nap.
UI/CenterCamera	Center Camera
UI/Up	Up
UI/Down	Down
UI/Left	Left
UI/Right	Right
UI/Blueprints	Blueprints
UI/ChangeWeapon	Switch weapons
UI/Reload	Reload
UI/GearSlot1	Gear Slot 1
UI/GearSlot2	Gear Slot 2
UI/GearSlot3	Gear Slot 3
UI/GearSlot4	Gear Slot 4
UI/Timer	Timer
UI/SpeedUp	Speed Up
UI/Pouse	Pause
UI/Construction	Construction
UI/Inventory	Inventory
UI/QuickGrab	Quick Grab
UI/Avoid	Change Lane (Car)
UI/Boost	Boost (Car)
UI/BasicBind	Default Bind
UI/CustomBind	Custom Bind
UI/ReloadSave	Load Last Save
UI/ReloadFurther	Go Further Back
UI/Load	Load
UI/Block	Block
UI/TryAgain	Try Again
UI/betaEnd1	You have finished all main quests in the beta version
UI/betaEnd2	Thank you for playing the beta version!
UI/betaEnd3	   P.S. Although this is the end of Beta, it's not the end of the content you can discover. Feel free to continue! :)
UI/lounch	Launch The Rocket
UI/MaterialsOnly	Materials Only
UI/CommunityLanguageAsk	The current language has been translated by the community. Some parts might be unfinished.\nDo you still want to use it?
UI/GraphicsSettingsAsk	Do you want to keep the current display settings?\n(Yes - keep, No - back to default)
UI/creditsBob	Live well and read well!
UI/creditsHunter	Hunt down \nall of them!
UI/creditsPrep	See ya!
UI/creditsJoe	Find yourself a nice junkyard!
UI/creditsJenny	Live long and flourish!
UI/creditsPostman	Send a nice postcard \nonce you're there!
UI/creditsProducers	Producers
UI/creditsProgrammers	Programmers
UI/creditsGraphic	Graphical Assets
UI/creditsWriter	Script Writer
UI/creditsMusic	Music and Sound Effects
UI/creditsDesign	Gameplay Design
UI/creditsTranslators	Translators
UI/creditsCommunity	Community Managers
UI/creditsKillers	Bug Hunters
UI/creditsQA	Quality Assurance
UI/creditsBeta	Beta Testers
UI/creditsSpecial	Special Thanks
UI/creditsExternal	External Producers
UI/creditsConcept	Based on a concept by
UI/thx	Thank you for playing
UI/stop	Stop
UI/lvl	lvl
UI/max	MAX
UI/car	Fuel Tank
UI/Car	Car
UI/contextENTRANCE	Entrance
UI/contextUNKNOWNLEVEL	Level ?
UI/immortal	Immortal
UI/mode	Game Mode
UI/creative	Creative
UI/regular	Regular
UI/special	Special Modes
UI/regularMode	Normal Game
UI/creativeDesc	You have unlimited access to all items and materials and you can set to be immortal. This mode is intended for people who like to focus on creative/building part of the game without any limitations. In this mode you will not be able to unlock any achievements.
UI/sandbox	Sandbox
UI/sandboxDesc	All locations are unlocked from the start. This is a storyless mode - you get to make your own path. 
UI/moreComing	more to come
UI/CreativeOp	Creative Mode Options
UI/creativeIcon	Creative Mode Options [C]
UI/beta	Beta
UI/diffEasy	Easy
UI/diffEasyDesc	For those who just want to enjoy a calm everyday life of a prepper.
UI/diffNormal	Normal
UI/diffNormalDesc	Intended/balanced difficulty. We recommend you to start with this one.
UI/diffHard	Hard
UI/diffHardDesc	For players who want a bigger challenge.
UI/diff	Difficulty
UI/diffHardcoreDesc	<U>Hardcore</U> - if you faint, your save file is deleted
UI/diffHardcore	Hardcore
UI/daysSurvive	Days survived
UI/corruptSuc	Your save file was corrupted. Automatic recovery was successful and everything should be fine now. If you encounter any more problems, please contact us via Steam or Discord. 
UI/corruptFail	Your save file was corrupted. Automatic recovery failed. Corrupted save file was moved to Corr folder in your save files directory. Please contact us via Steam or Discord and we will try to help.
UI/ok	OK
UI/halloween	HALLOWEEN
UI/halloweenFlyerText	MEET ME IN THE FOREST
UI/contextCLOSE	CLOSE
UI/contextAnimalsBand	TRACKING DEVICE
UI/contextMaterial	BLACK FABRIC
UI/contextBrokenCamera	BROKEN CAMERA
UI/contextUFO	UFO
UI/rocketNeeded0	<B>Unlock</B>: build Rocket Silo
UI/rocketNeeded1	<B>Unlock</B>: finish building Rocket Phase 2
UI/rocketNeeded2	<B>Unlock</B>: finish building Rocket Phase 3
UI/contextSHAVE	Shave
UI/contextMILK	Milk
UI/contextFEED	FEED
UI/contextFILLET	Fillet
UI/contextFILLET_ALL	Fillet All
UI/wall	Wall
UI/floor	Floor
UI/ceiling	Ceiling
UI/customRoomTextureInfo	You can use <color=yellow>your own images</color>.\nPut them in "<color=yellow>Custom Room Texture</color>" folder in your game instalation directory and reload your save file.\nImages needs to be in <color=yellow>JPG or PNG</color> format.
UI/addToWhislist	Add it to your Wishlist!
UI/skipToUFO	Do you want to wait till 3:00?
UI/unknown	Unknown
UI/prefWeather	Preferred weather
UI/prefTime	Preferred time
UI/prefLocation	Preferred location
UI/anyConditions	Without preferences
UI/bestFishingRod	Best fishing rod
UI/bestBait	Best bait
UI/Rainy	Rainy
UI/Sunny	Sunny
UI/Foggy	Foggy
UI/Stormy	Stormy
UI/LabirinthLake	Maze Lake
UI/Night	Nighttime
UI/Morning	Morning
UI/FBaitBasic	Basic
UI/FBaitGood	Good
UI/FBaitGreat	Great
UI/FBaitExcelent	Excellent
UI/OldRod	Old fishing rod
UI/GoodRod	Good fishing rod
UI/ExpertRod	Expert fishing rod
UI/Pet	Pet
UI/getFishingReward	Collect an award from Will!
UI/contextPET	PET
UI/contextCLEANUP	Clean up
UI/contextOpenTrunk	Open the trunk
UI/contextElevatorStorage	Storage
UI/contextPUSH	Push
UI/autopilot	Autopilot
UI/autopilotUpgrade1	Autopilot upgrade
UI/autopilotUpgrade2	Solar panels
UI/autopilotDescription1	Your car will drive automatically, but will consume a bit more fuel.
UI/autopilotDescription2	Your car will drive automatically without any additional cost.
UI/contextWEATHER_TODAY	TODAY'S FORECAST
UI/contextWEATHER_TOMORROW	TOMORROW'S FORECAST
UI/contextPLAY	Play
UI/contextSHOOT	Shoot
UI/dogeUndergroundTut1	Xeno will be uncomfortable underground.
UI/dogeOvergroundTut1	Xeno is still getting to know you.
UI/dogeOvergroundTut2	You need to feed him and play with him to raise your friendship level.
UI/dogeOvergroundTut3	By raising friendship level, Xeno will learn new behaviors and keep you more Prepared.
UI/anyMeat	Any Meat
UI/anyVege	Any food without meat
UI/anySeed	Any Seed
UI/anyFruit	Any fruit
UI/bestFood	Best Food
UI/goodFood	Good Food
UI/okayFood	Okay Food
UI/animalPet	Pet
UI/barnHole	Hole in the barn
UI/brokenFence	Broken fence
UI/mazeLevel	Maze level
UI/mazeUnlocked	unlocked
UI/mazeLocked	locked
UI/mazeProgressInfo	This panel displays unlocked maze levels and progress towards the next level. \nEach time you reach end of maze you are progressing towards unlocking the next level. \nHigher maze levels are longer, harder and give better rewards.\nEach day maze level is chosen randomly from your unlocked maze levels.
UI/contextGiveTreat	GIVE TREAT
UI/fishingCaughtFish	You caught
UI/fishingNotCaughtFish	Close one, maybe next time!
UI/fishingMinigameMiss	Miss
UI/fishingMinigameGoodJob	Good Job!
UI/fishingSignTooltip	Fish have their preferences regarding weather, time of the day and other things.\n\nThe weather is variable, so if you want to plan your fishing, check the weather forecast on the radio.\n\nIn the case of the time of day, the fish like these times:\nMorning: Till 12:00\nDay: 12:00 - 17:00\nNight: From 17:00
UI/menuDLCInfo	Playing the DLC starts on the tenth day of game time, when you receive a letter with a work order from the Agency.
UI/menuDLCEnable	DLC is enabled.
UI/menuDiscord	Join Discord
UI/DLCs	DLCs
UI/farmDLC	Animal Farm
UI/dlcSave	<b><size=20>incompatible</size></b>\n\nThis game file was saved with DLC(s) enabled. Install the DLC(s) listed in the save file description to load this game.
UI/farmDLCFirstEnableInfo	<b><size=20>Animal Farm</size></b>\n\nAnimal Farm DLC is enabled. You can play it on an old save file or start a new one. The recommended way to enjoy the Animal Farm DLC is starting it with a fresh save file. Have fun!
UI/dogeUpperFloorTut1	Xeno will be uncomfortable if you close him on the upper floor.
UI/contextLAUNCH_ROCKET_SATELITE	Set the target: Brazen Serpent
UI/farmDLCAvailable	Available in the Animal Farm DLC
UI/notEnoughGranades	You need grenades to play this
UI/TwoButtonsAttack	Attack with [Q] to the left. Attack with [E1] to the right.
UI/TwoButtonsAttackPort	Attack with <sprite index=27> to the left. Attack with <sprite index=28> to the right.
UI/CursorAttack	Attack with [E2] in the direction of the cursor.
UI/CursorAttackPort	Attack in the direction you're aiming with <sprite index=28>.
UI/OldCombatSystem	Click on an enemy to attack them.
UI/OldCombatSystemPort	Press <sprite index=Button0_UIAtlas> on an enemy to attack them.
UI/CombatTutTittle1	How to fight
UI/CombatTutDescription1	There are two attack buttons. \nClick to attack once or hold to keep attacking.
UI/AttackLeftTut	Attack to the left with [Q]
UI/AttackRightTut	Attack to the right with [E]
UI/CombatTutTittle2	options
UI/CombatTutDescription2	You can customize attacking to fit your own preferences in the gameplay settings menu.
UI/calMon	Monday
UI/calTue	Tuesday
UI/calWed	Wednesday
UI/calThu	Thursday
UI/calFri	Friday
UI/calSat	Saturday
UI/calSun	Sunday
UI/Attack	Attack
UI/AttackLeft	Attack to the left
UI/AttackRight	Attack to the right
UI/keyBindsConflict	Some key bindings are in conflict!
UI/dlcLoadWarning	You are loading a save file that has not been saved with your currently enabled DLC(s). After you do that, you will not be able to load this save file without your currently enabled DLC(s). Do you want to continue?
UI/dogeFriendshipLevel1	You feel more prepared. Xeno will now start reacting to the postman and the neighbors arriving.
UI/dogeFriendshipLevel2	Xeno will be bringing you newspapers and hiding when the agent arrives.
UI/dogeFriendshipLevel3	Xeno will be hiding his bowl from the Agent and will be bringing you gifts from time to time.
UI/dogeFriendshipLevelLabel	Xeno Friendship Level:
UI/dogeFriendshipBenefLabel	Friendship benefits
UI/allCategory	All
UI/dogFriendshipTooltip	When you interact with Xeno - for instance, you pet him, \ngive him snacks or react to his behavior - your friendship will increase.\nHowever, if you leave him alone at home at night or you \nneglect his needs to the point when he escapes, your friendship will decrease.\nThese are not the only factors that affect your friendship. \nPay attention to Xeno and his reactions in order to notice \nwhat changes your friendship level.
UI/creditsAnimalFarm	Additional help with Animal Farm DLC
UI/creditsWill	Respect the land or it'll bite you
UI/credits	Credits
UI/translationInProgress	Translation in progress - coming soon
UI/ultimateFishBoard	Ultimate Fish Board
UI/advancedCombatMode	This book activates advanced combat mode, allowing you to attack and move simultaneously. It can be disabled later. Enable now?
UI/advancedCombatModeNo	You still get other benefits from this book: \nbetter speed and damage. 
UI/advancedCombatModeSetting	Stop when attacking
UI/contextKILL	Kill
UI/fishingMinigameToEarly	Too Early!
UI/fishingMinigameToLate	Too Late!
UI/minigameEvent	event
UI/minigameBeat	Reach the score:
UI/minigameToGet	to get a prize of
UI/minigameWin	We have a winner!!!
UI/minigameWin2	The reward will be delivered to your mail box.
UI/minigameEventFreedomRoad	Beat the target score in a Freedom Road event!
UI/minigameEventUndeadHell	Beat the target score in an Undead Hell event!
UI/minigameGetScoreUndeadHell1	Nights to survive:
UI/minigameGetScoreFreedomRoad	Reach the level:  
UI/minigameFlierTitle	GAME COMPETITION
UI/minigameCongratulation	CONGRATULATIONS
UI/minigameCongratulation2	MR. PREPPER!
UI/minigameReachedTargetScore	YOU'VE REACHED THE TARGET SCORE IN THE GAME:
UI/minigameYouWon	YOU WON
UI/minigameOutstandingJob	OUTSTANDING JOB! SEE YOU IN THE NEXT EVENT
UI/minigameGameingClub	NEIGHBORHOOD GAMING CLUB
UI/computerNotebookContentText	Tuesday\n\nDear Diary... ah, damn, no, I can't do it like this.\n\nWednesday\n\nOkay, once again. I decided to start making some notes as an exercise. My memory feels bad and all days seem to be the same. It is said that journaling makes you remember stuff better. I will try and see how this works out.\n\nThursday\n\nToday I was just walking around Murricaville area. I think such long walks help me concentrate. I need to get to know the surroundings better.\n\nFriday\n\nThe forest seems familiar somehow: the plants, the light, the scents. One thing surprised me though, and it was the sound of howling. Since when do we have wolves around here? \n\nSaturday \n\nRestless today. Did some small chores and repairs around the house. I can't help thinking that the town is too quiet. What is missing? The traffic, maybe? The daily chatter of neighbors? Barking of dogs?\n\nSunday\n\nA dream about flying. Gaining speed. Exhilaration. I don't actually know whether I'm in an airplane or not. I'm flying right above the treeline, I feel I'm reaching my destination, but I don't slow down for landing, I just go faster, treetops are closer. I wake up with a twitch of my whole body.\n\nTuesday\n\nDecided to drive around Murricaville for a bit. Not much going on. Neighbors greet each other with "Bless the President!". The postman delivers "One Truth" (what happened to other newspapers?). Everything looks the same. Nothing is happening. Everything is thoroughly, deeply, incredibly boring.\n\nShould I drive further and see how it is in other places?\n\nWednesday\n\nI dreamt about dogs tonight. Don't remember the details, but it wasn't a pleasant dream. Barking, growling. Why they were so agitated? I don't know.\n\nThursday\n\nLiterally nothing happened today. I'm so bored I don't even know what to write here.\n\nSaturday\n\nOkay, I'm leaving tomorrow. I have a full tank. I really, really need to see other places.\n\n
UI/AttackType1	Attack with [Q] and [E1]
UI/AttackType1Port	Attack with <sprite index=27> and <sprite index=28>
UI/AttackType2	Attack with [E2]
UI/AttackType2Port	Attack with <sprite index=28>
UI/AttackType3	Old Combat System
UI/loadSaveConfirmationText	Do you want to load this save?
UI/loadSaveMenuLabel	Load game
UI/sortButtonTooltip	Sort
UI/diffCustom	Custom
UI/diffCustomdesc	Tailor the game to your preferences by adjusting individual parameters. Choose your own balance between challenge and creativity by customizing elements such as combat difficulty, speed of certain actions, events and more. This mode offers the ultimate flexibility for players who want to craft their own unique gameplay experience.\r
UI/diffCustomSettings	Custom mode settings
UI/applySettings	Apply settings
UI/customSettingsCreative	Creative mode
UI/customSettingsSandbox	Sandbox mode
UI/customSettingsHardcore	Hardcore mode
UI/customSettingsEnemyQuantity	Enemies quantity multiplier
UI/customSettingsPlayerDmgTaken	Player damage taken multiplier
UI/customSettingsPlayerAtkDmg	Player attack damage multiplier
UI/customSettingsPlayerAtkSpeed	Player attack speed
UI/customSettingsPlayerMovSpeed	Player movement speed
UI/customSettingsCraftingSpeed	Crafting speed
UI/customSettingsDisassembleMat	Materials received from disassembling multiplier
UI/customSettingsPrepGain	Preparedness gain multiplier
UI/customSettingsPrepLoss	Preparedness loss multiplier
UI/customSettingsStaminaGain	Stamina gain multiplier
UI/customSettingsStaminaLoss	Stamina loss multiplier
UI/customSettingsHealthGain	Health gain multiplier
UI/customSettingsHealthLoss	Health loss multiplier
UI/customSettingsConditionDiff	Conditions difficulty
UI/customSettingsEvents	Events
UI/customSettingsEventDuration	Events duration
UI/customSettingsFoodSpoilSpeed	Food spoil speed 
UI/customSettingsPlantsCanWilt	Plants can wilt
UI/customSettingsPlantsGrowSpeed	Plants grow speed multiplier
UI/customSettingsTradePrices	Trade prices multiplier
UI/customSettingsMachineFuelUse	Machines fuel usage multiplier
UI/customSettingsDayDuration	Day duration multiplier
UI/conditionDiffTooltip	Influences effects of player buffs and debuffs like hungry, tired, etc.
UI/eventsAndEventsDurationTooltip	Electricity cut off, water cut off, postman missing events
UI/eventDurationShort	Short
UI/eventDurationLong	Long
UI/eventDurationNormal	Normal
UI/customSettingsSurpriseAgentVisits	Surprise agent visits
UI/customSettingsGunsCanBreak	Guns can break
UI/shareCustomPresetButton	Share with developers
UI/todaysLimit	today's limit:
UI/todaysLimitReached	today's limit reached
UI/customModeSettingsShare	Custom mode settings share
UI/customModeSettingsShareDesc	Help us come up with awesome custom mode settings to try. We may feature your settings in feature updates. This will send your current custom mode settings to us. Please provide name and description of your custom setting suggestion.
UI/customModeSettingsShareNamePlaceholder	Name your custom setting...
UI/customModeSettingsShareDescPlaceholder	Describe your custom setting...
UI/customModeSettingsShareSend	Send
UI/customModeSettingsShareWarning	Name and description are required
UI/radiatedItemsTutorialMessage	Warning! Having irradiated items in your inventory \nmakes the Prepper's radiation level grow.
UI/uraniumGlowingGlassJoeAsk	Glowing Glass
UI/uraniumMineBobAsk	Uranium Mine
UI/radiatedMushroomsAsk	Weird Mushrooms
UI/nucklearEngineeringBookAsk	Nuclear DIY
UI/contextCentrifuge	Activate
UI/contextBUY	Buy
UI/contextExtract	Extract
UI/noElectricityDisabled	Electricity cut off event is permanently disabled
UI/noWaterDisabled	Water cut off event is permanently disabled
UI/postamMissingDisabled	Postman missing event is permanently disabled
UI/expeditionSend	Send expedition
UI/expeditionCancel	Cancel expedition
UI/expeditionCost	Cost
UI/expeditionDuration	Duration
UI/expeditionLoot	Loot
UI/expeditionLootCommon	Common
UI/expeditionLootRare	Rare
UI/expeditionLootEpic	Epic
UI/nuclearDLC	Uranium Project
UI/contextEXPEDITION	Expedition
UI/currentExpedition	Current expedition:
UI/craneTittle	Crane Machine
UI/craneLevel	Level
UI/craneLevelInfo	You gain experience points by retrieving boxes with the crane machine. \nYou gain extra experience points for clearing all boxes in the room. \nLevels grant perks that increase chances of better boxes and unlock additional mechanics.
UI/craneCostInfo	Every next game is more expensive, but the cost resets every day.
UI/craneRerollInfo	Reset position of current boxes.
UI/craneCurrent	Current perks
UI/craneNextLevel	Next level perks
UI/craneNoPerks	No perks
UI/craneStart	Play
UI/craneCleared	Prize boxes cleared!
UI/craneExp	exp
UI/cranePerkUncommon	for <color=#A8E6A1>uncommon</color> boxes
UI/cranePerkRare	for <color=#A1C9F1>rare</color> boxes
UI/cranePerkVeryRare	for <color=#D1A8F0>very rare</color> boxes
UI/cranePerkLegendary	for <color=#FFE0A8>legendary</color> boxes
UI/craneChancesLabel	Current boxes chances
UI/craneCommon	<color=#D3D3D3>Common</color> 
UI/craneUncommon	<color=#A8E6A1>Uncommon</color> 
UI/craneRare	<color=#A1C9F1>Rare</color> 
UI/craneVeryRare	<color=#D1A8F0>Very Rare</color> 
UI/craneLegendary	<color=#FFE0A8>Legendary</color> 
UI/creditsUranium	Additional help with Project Uranium DLC
UI/creditsUpdates	Additional help with Content Updates
UI/creditsProgramming	(Programming)
UI/creditsGraphics	(Graphics)
UI/creditsLemon	Bye my lemonade!
UI/creditsFreeSounds	SFX
UI/geigerUIEnviro	It displays the current radiation level around you.
UI/geigerUIInventory	It displays the current radiation level in your inventory.
UI/contextPULL	Pull
UI/contextDETONATE	Detonate
UI/craneMinigameLucky	Lucky Prizes\nAll prize boxes are higher rarity.
UI/craneMinigameOneType	Red Lights\nAll boxes have the same type.\nBonus exp for clearing all prize boxes.
UI/craneMinigamePrizeBoxesCleared	Clear All Prize Boxes
UI/craneMinigamePrizeBox	Prize Box
