# source	term	english
# source\tterm\tenglish\nI2Languages (I2.Loc.LanguageSourceAsset)	UI/Blueprint	Blueprint
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportNextVisitTooltip	The agent will visit you on:
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportNextVisitTooltipDay	day
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportNextVisitTooltipMonth	month
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualHeader	Citizen Inspection Protocol
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualNextVisit	To be conducted in 1–7 days intervals, depending on the suspicion level.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualItems	Standard house equipment
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualConsumption	Consumption rate up to
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualItemsText	The rating is up to your judgement, but you should pay attention to the lack of certain items or excess thereof (relative to the standard).
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualEleInfo	Check the electricity box
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualSinkInfo	Check the sink
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualWaterInfo	Water usage per day (since the last visit)
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualBorderRed	The most\nSuspicious
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportManualBorderOrange	More\nSuspicious
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tooltipQuantity	Safe quantity
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tooltipType	For all items of the category
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportNotOpen	I'll come tomorrow. Avoiding inspection has serious consequences!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/reportUnsuccessful	Unsuccessful
I2Languages (I2.Loc.LanguageSourceAsset)	UI/pcs	pcs.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/EventBlackoutC	The electricity has been cut off!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/EventNoWaterC	The water has been cut off!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/EventTradeC	The Postman is missing!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/EventAgentC	The Agent
I2Languages (I2.Loc.LanguageSourceAsset)	UI/shelterSpaceOccupied	Shelter space is already occupied
I2Languages (I2.Loc.LanguageSourceAsset)	UI/shelterSiloUnreachable	The silo is unreachable. Build more rooms to reach it.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoBlockText	Not available in the demo
I2Languages (I2.Loc.LanguageSourceAsset)	UI/endOfDemo	Demo Ends
I2Languages (I2.Loc.LanguageSourceAsset)	UI/LimitBar	Sleep to recover
I2Languages (I2.Loc.LanguageSourceAsset)	UI/BlueprintsIcon	Blueprints [Tab]
I2Languages (I2.Loc.LanguageSourceAsset)	UI/StatusIcon	Prepper Status [U]
I2Languages (I2.Loc.LanguageSourceAsset)	UI/ClockIcon	Clock [T]
I2Languages (I2.Loc.LanguageSourceAsset)	UI/ConstructionIcon	Construction [B]
I2Languages (I2.Loc.LanguageSourceAsset)	UI/InventoryIcon	Inventory [I]
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Bunker	Bunker
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Farming	Farming
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Decorative	Decorative
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Food0	Basic recipes
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Food1	Cookbook 1
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Food2	Cookbook 2
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Food3	Cookbook 3
I2Languages (I2.Loc.LanguageSourceAsset)	UI/FoodFarm	Farm Cookbook
I2Languages (I2.Loc.LanguageSourceAsset)	UI/AnimalFarmDLC	Animal Farm
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlEsc	Menu
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlTab	Blueprints
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlCtrl	Fast forward
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlQ	Change weapon
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlWSAD	Move camera
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlT	Time control
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlB	Bunker construction
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlU	Gear / Journal
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlI	Inventory
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlSpace	Center the camera / Drive around obstacles
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlSpacePort	Center the camera
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlLMB	Move / Quick action
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlRMB	Interact
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlKeyboardLayout	Keyboard layout
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlQuickGrab	Quick grab
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlGrid	Alternate item placement grid
I2Languages (I2.Loc.LanguageSourceAsset)	UI/controlBoost	Drive Boost
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextEAT	EAT
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextSLEEP	SLEEP
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextCRAFT	CRAFT
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextTRADE	Trade
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextRECEIVE	RECEIVE
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextRECHARGE	RECHARGE
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextWATER	WATER
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextPLANT	PLANT
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextHARVEST	HARVEST
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextREAD	READ
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextTURNON	TURN ON
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextNAP	NAP
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextCOOK	COOK
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextEQUIP	EQUIP
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextTALK	TALK
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextCOLLECT	COLLECT
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextCHANGECOLOR	CHANGE COLOR
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextUSE	USE
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextREPAIR	Repair
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextMINE	MINE
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextQUICK_PLANT	QUICK PLANT
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextQUICK_SET	QUICK SET
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextLAUNCH_ROCKET	LAUNCH THE ROCKET
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextOPEN	OPEN
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextINSPECT	INSPECT
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextGRAB	GRAB
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextBUILD	BUILD
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextHIDE	HIDE
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextPOWERON	POWER ON
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextPOWEROFF	POWER OFF
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextDESTROY	DESTROY
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextCHOP	CHOP
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextCANCEL	CANCEL
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextDOWN	Down 
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextUP	Up 
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextGETBACK	Get back 
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextMELT	Melt
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextDRY	Dry
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextGIVE	Give
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextLEVEL	LEVEL
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextAsk	Ask
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextFort	Fort Observer
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextCustomize	Customize
I2Languages (I2.Loc.LanguageSourceAsset)	UI/attributeStamina	Stamina
I2Languages (I2.Loc.LanguageSourceAsset)	UI/attributeHealth	Health
I2Languages (I2.Loc.LanguageSourceAsset)	UI/attributePrep	Preparedness
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Resume	Resume
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Back	<back
I2Languages (I2.Loc.LanguageSourceAsset)	UI/BackPort	back
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Apply	Apply
I2Languages (I2.Loc.LanguageSourceAsset)	UI/habitat	habitat
I2Languages (I2.Loc.LanguageSourceAsset)	UI/planBunker	Build the bunker
I2Languages (I2.Loc.LanguageSourceAsset)	UI/planFood	Establish a food source
I2Languages (I2.Loc.LanguageSourceAsset)	UI/planMakeAPlan	Make a plan
I2Languages (I2.Loc.LanguageSourceAsset)	UI/planRocket1	Ultimate Rocket Plan Phase 1
I2Languages (I2.Loc.LanguageSourceAsset)	UI/planRocket2	Ultimate Rocket Plan Phase 2
I2Languages (I2.Loc.LanguageSourceAsset)	UI/planRocket3	Ultimate Rocket Plan Phase 3
I2Languages (I2.Loc.LanguageSourceAsset)	UI/planRocket4	Ultimate Rocket Plan Phase 4
I2Languages (I2.Loc.LanguageSourceAsset)	UI/actionPlan	Plan
I2Languages (I2.Loc.LanguageSourceAsset)	UI/rocketProlog	More of the rocket\nin the full version
I2Languages (I2.Loc.LanguageSourceAsset)	UI/railWayProlog	You need the full version \nof the game to repair that
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoEnd1	Thank you for playing the demo!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoEnd2	   If you want to try to survive in the bunker and live the Prepper's story we encourage you to visit Mr. Prepper's full game Steam Page: 
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoEnd3	Mr. Prepper steam page
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoEnd4	   Add it to your Wishlist and Subscribe to be up to date!\n   We hope you enjoyed this small part of our game!\n
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoEnd5	Kind regards,\nRejected Games
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoEnd6	   P.S. although this is the end of demo, and the rest of the content is only available in the full version, you can continue playing if you wish ;D
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoEnd7	Exit Game
I2Languages (I2.Loc.LanguageSourceAsset)	UI/demoEnd8	Continue playing
I2Languages (I2.Loc.LanguageSourceAsset)	UI/myCash	My cash
I2Languages (I2.Loc.LanguageSourceAsset)	UI/trust	trust
I2Languages (I2.Loc.LanguageSourceAsset)	UI/lowPrep	Your preparedness is low
I2Languages (I2.Loc.LanguageSourceAsset)	UI/SeedsOnly	Seeds only
I2Languages (I2.Loc.LanguageSourceAsset)	UI/BaitsOnly	Baits only
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Prepper	Set up
I2Languages (I2.Loc.LanguageSourceAsset)	UI/FoodOnly	Food only
I2Languages (I2.Loc.LanguageSourceAsset)	UI/WaterOnly	Water only
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Upgrade	Upgrade
I2Languages (I2.Loc.LanguageSourceAsset)	UI/ChooseSlot	Choose a slot
I2Languages (I2.Loc.LanguageSourceAsset)	UI/UI	UI
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Suspiciousness	Suspiciousness
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Skills	Skills
I2Languages (I2.Loc.LanguageSourceAsset)	UI/warning	Warning!!!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/deleteSave	Are you sure you want to pernamently <color=red>delete</color> this save file?
I2Languages (I2.Loc.LanguageSourceAsset)	UI/sleepWarning	You should go to sleep
I2Languages (I2.Loc.LanguageSourceAsset)	UI/GoToSleepClock	Time to sleep! You will collapse soon.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/unlocked	unlocked
I2Languages (I2.Loc.LanguageSourceAsset)	UI/pillar	Ropeway pillar
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Trash	Trash
I2Languages (I2.Loc.LanguageSourceAsset)	UI/changeWeaponTip	Press [Q] to change weapon/tool
I2Languages (I2.Loc.LanguageSourceAsset)	UI/changeWeaponTipPort	Press <sprite index=Button30_UIAtlas> to change weapon/tool
I2Languages (I2.Loc.LanguageSourceAsset)	UI/grabTip	[Alt] + LMB to quick grab
I2Languages (I2.Loc.LanguageSourceAsset)	UI/grabTipPort	Hold <sprite index=Button26_UIAtlas> and press <sprite index=Button0_UIAtlas> to quick grab
I2Languages (I2.Loc.LanguageSourceAsset)	UI/fastForwardTip	Hold [Left Ctrl] to fast forward
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueEnd1	This storyline is to be continued in the full version!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueEnd2	If you want to try to survive in the bunker and live the Prepper's story, we encourage you to visit Mr. Prepper's full game Steam Page: 
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueEnd3	Mr. Prepper Steam page
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueEnd4	   Add it to your Wishlist and Subscribe to be up to date!\n   We hope you enjoyed this part of our game!\n
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueEnd5	Kind regards,\nRejected Games
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueEnd6	   P.S. Although this is the end of Prologue's story it's not the end of the content you can discover. Feel free to continue! :)
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueEnd7	Exit Game
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueEnd8	Continue playing
I2Languages (I2.Loc.LanguageSourceAsset)	UI/gearTip1	To equip a baseball bat, open your gear
I2Languages (I2.Loc.LanguageSourceAsset)	UI/gearTip2	Double click a baseball bat to equip it
I2Languages (I2.Loc.LanguageSourceAsset)	UI/gearTip2Port	Double press <sprite index=Button0_UIAtlas> on a baseball bat to equip it
I2Languages (I2.Loc.LanguageSourceAsset)	UI/gearTip3	Press Q to toggle your weapon
I2Languages (I2.Loc.LanguageSourceAsset)	UI/gearTip3Port	Press <sprite index=Button30_UIAtlas> to toggle your weapon
I2Languages (I2.Loc.LanguageSourceAsset)	UI/skip	Skip
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueFarmingInfo1	In Prologue, ways of upgrading your farm are limited,
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueFarmingInfo2	which makes survival very challenging in the long run.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueFarmingInfo3	In the full version, you will gain access to better, more efficient plants,
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueFarmingInfo4	more tools to make your plants grow faster,
I2Languages (I2.Loc.LanguageSourceAsset)	UI/prologueFarmingInfo5	and more ways of obtaining water and electricity.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/arrested	Arrested
I2Languages (I2.Loc.LanguageSourceAsset)	UI/escape	Escape
I2Languages (I2.Loc.LanguageSourceAsset)	UI/drive	Drive
I2Languages (I2.Loc.LanguageSourceAsset)	UI/driveForward	Drive Forward
I2Languages (I2.Loc.LanguageSourceAsset)	UI/backToJoe	Back to Joe
I2Languages (I2.Loc.LanguageSourceAsset)	UI/toggleFortObserver	Fort Observer
I2Languages (I2.Loc.LanguageSourceAsset)	UI/toggleScavenge	Scavenge
I2Languages (I2.Loc.LanguageSourceAsset)	UI/driveTooltipBeta	You can't go further in beta
I2Languages (I2.Loc.LanguageSourceAsset)	UI/inFullVersion	(In full version)
I2Languages (I2.Loc.LanguageSourceAsset)	UI/driveToFort	Drive to the fort
I2Languages (I2.Loc.LanguageSourceAsset)	UI/driveForwardTooltip	
I2Languages (I2.Loc.LanguageSourceAsset)	UI/backToJoeTooltip	Back to the junkyard
I2Languages (I2.Loc.LanguageSourceAsset)	UI/driveToFortTootlip	
I2Languages (I2.Loc.LanguageSourceAsset)	UI/driveForwardDesc	Take a risk
I2Languages (I2.Loc.LanguageSourceAsset)	UI/driveToFortDesc	
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tooLittleFuel	Not enough fuel
I2Languages (I2.Loc.LanguageSourceAsset)	UI/PutOnBackPack	Put on a backpack to unlock
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tutTipDisassemble1	Mr. Prepper can learn new recipes by disassembling items.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tutTipDisassemble2	If you disassemble something from your house,
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tutTipDisassemble3	you will always be able to reconstruct it.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tipAdventuringGear1	With the backpack equipped, you can now use quick access slots.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tipAdventuringGear2	You can equip food, combat gear and other consumables here.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tipAdventuringGear3	You can use them any time with keyboard keys 1–4.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/tipAdventuringGear3Port	You can use them any time by hold <sprite index=Button2_UIAtlas> and press <sprite index=Button36_UIAtlas>
I2Languages (I2.Loc.LanguageSourceAsset)	UI/youSureExit	Are you sure you want to exit? Your progress is being saved only when you sleep or nap.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/CenterCamera	Center Camera
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Up	Up
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Down	Down
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Left	Left
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Right	Right
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Blueprints	Blueprints
I2Languages (I2.Loc.LanguageSourceAsset)	UI/ChangeWeapon	Switch weapons
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Reload	Reload
I2Languages (I2.Loc.LanguageSourceAsset)	UI/GearSlot1	Gear Slot 1
I2Languages (I2.Loc.LanguageSourceAsset)	UI/GearSlot2	Gear Slot 2
I2Languages (I2.Loc.LanguageSourceAsset)	UI/GearSlot3	Gear Slot 3
I2Languages (I2.Loc.LanguageSourceAsset)	UI/GearSlot4	Gear Slot 4
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Timer	Timer
I2Languages (I2.Loc.LanguageSourceAsset)	UI/SpeedUp	Speed Up
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Pouse	Pause
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Construction	Construction
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Inventory	Inventory
I2Languages (I2.Loc.LanguageSourceAsset)	UI/QuickGrab	Quick Grab
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Avoid	Change Lane (Car)
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Boost	Boost (Car)
I2Languages (I2.Loc.LanguageSourceAsset)	UI/BasicBind	Default Bind
I2Languages (I2.Loc.LanguageSourceAsset)	UI/CustomBind	Custom Bind
I2Languages (I2.Loc.LanguageSourceAsset)	UI/ReloadSave	Load Last Save
I2Languages (I2.Loc.LanguageSourceAsset)	UI/ReloadFurther	Go Further Back
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Load	Load
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Block	Block
I2Languages (I2.Loc.LanguageSourceAsset)	UI/TryAgain	Try Again
I2Languages (I2.Loc.LanguageSourceAsset)	UI/betaEnd1	You have finished all main quests in the beta version
I2Languages (I2.Loc.LanguageSourceAsset)	UI/betaEnd2	Thank you for playing the beta version!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/betaEnd3	   P.S. Although this is the end of Beta, it's not the end of the content you can discover. Feel free to continue! :)
I2Languages (I2.Loc.LanguageSourceAsset)	UI/lounch	Launch The Rocket
I2Languages (I2.Loc.LanguageSourceAsset)	UI/MaterialsOnly	Materials Only
I2Languages (I2.Loc.LanguageSourceAsset)	UI/CommunityLanguageAsk	The current language has been translated by the community. Some parts might be unfinished.\nDo you still want to use it?
I2Languages (I2.Loc.LanguageSourceAsset)	UI/GraphicsSettingsAsk	Do you want to keep the current display settings?\n(Yes - keep, No - back to default)
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsBob	Live well and read well!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsHunter	Hunt down \nall of them!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsPrep	See ya!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsJoe	Find yourself a nice junkyard!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsJenny	Live long and flourish!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsPostman	Send a nice postcard \nonce you're there!
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsProducers	Producers
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsProgrammers	Programmers
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsGraphic	Graphical Assets
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsWriter	Script Writer
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsMusic	Music and Sound Effects
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsDesign	Gameplay Design
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsTranslators	Translators
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsCommunity	Community Managers
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsKillers	Bug Hunters
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsQA	Quality Assurance
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsBeta	Beta Testers
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsSpecial	Special Thanks
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsExternal	External Producers
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creditsConcept	Based on a concept by
I2Languages (I2.Loc.LanguageSourceAsset)	UI/thx	Thank you for playing
I2Languages (I2.Loc.LanguageSourceAsset)	UI/stop	Stop
I2Languages (I2.Loc.LanguageSourceAsset)	UI/lvl	lvl
I2Languages (I2.Loc.LanguageSourceAsset)	UI/max	MAX
I2Languages (I2.Loc.LanguageSourceAsset)	UI/car	Fuel Tank
I2Languages (I2.Loc.LanguageSourceAsset)	UI/Car	Car
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextENTRANCE	Entrance
I2Languages (I2.Loc.LanguageSourceAsset)	UI/contextUNKNOWNLEVEL	Level ?
I2Languages (I2.Loc.LanguageSourceAsset)	UI/immortal	Immortal
I2Languages (I2.Loc.LanguageSourceAsset)	UI/mode	Game Mode
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creative	Creative
I2Languages (I2.Loc.LanguageSourceAsset)	UI/regular	Regular
I2Languages (I2.Loc.LanguageSourceAsset)	UI/special	Special Modes
I2Languages (I2.Loc.LanguageSourceAsset)	UI/regularMode	Normal Game
I2Languages (I2.Loc.LanguageSourceAsset)	UI/creativeDesc	You have unlimited access to all items and materials and you can set to be immortal. This mode is intended for people who like to focus on creative/building part of the game without any limitations. In this mode you will not be able to unlock any achievements.
I2Languages (I2.Loc.LanguageSourceAsset)	UI/sandbox	Sandbox
